Country Code,2019,2020,2021,2022,2023
ABW,38435.42691,28521.68885,35696.30937,38877.67444,40516.80856
AFE,4073.880522,3861.111238,3934.287267,3974.803045,3967.860937
AFG,2927.245144,2769.685745,2144.16657,1981.710168,1992.424394
AFW,4774.412771,4622.731427,4698.926894,4767.383262,4814.611443
AGO,8274.542562,7556.967928,7408.126591,7397.486427,7244.893053
ALB,15065.74957,14650.39593,16113.13652,17097.47836,17975.79839
AND,63215.89979,55488.4903,59332.20291,63913.38351,64631.29639
ARB,16263.113,15316.6272,15670.38381,16194.48698,16028.41578
ARE,68887.84541,65784.67694,67401.1213,68867.82593,68577.54057
ARG,26629.55294,23877.09314,26300.27426,27627.96348,27104.98
ARM,16215.3608,15052.93598,15921.70528,17886.17839,19230.18993
ASM,,,,,
ATG,29636.89244,23915.16198,25733.29483,28033.13078,28967.25568
AUS,57800.4934,57023.66782,58145.55136,59845.7858,60408.94337
AUT,64629.82578,60295.49515,62912.17411,65602.25653,64336.03753
AZE,20122.71285,19126.0949,20111.3757,21051.26876,21262.298
BDI,855.7327201,833.9202575,836.6655713,829.3871596,828.8610743
BEL,60451.99969,57307.02062,60611.52714,62668.95397,62876.23877
BEN,3281.104701,3317.859722,3464.288629,3588.335259,3721.224527
BFA,2391.536268,2380.931718,2486.430931,2466.053314,2482.072253
BGD,6838.326116,7015.197928,7441.06914,7888.163891,8242.39799
BGR,27673.37623,26944.7221,29278.79498,31536.17007,33111.73321
BHR,56749.96284,53814.24526,54954.67579,57465.17298,57213.09136
BHS,32495.33387,25457.08039,29340.47235,32408.71186,33105.60386
BIH,17014.35997,16732.34544,18270.33518,19280.8873,19829.28226
BLR,26798.82064,26731.49538,27611.18011,26537.50831,27718.32312
BLZ,11803.088,10032.5445,11677.46101,12569.81794,12455.29607
BMU,94755.43281,87894.40117,92276.2346,98057.4471,98041.68872
BOL,9985.230488,9000.975648,9454.198147,9681.707427,9843.970142
BRA,18018.62092,17327.51573,18075.70601,18554.04618,19018.23907
BRB,18572.50954,15749.03802,15683.88471,18469.57659,19224.46212
BRN,80228.15966,80280.89795,78248.79711,76357.8291,76828.39983
BTN,14555.1884,12979.93694,13458.81266,14061.31202,
BWA,18106.01685,16289.42022,17961.35762,18648.1356,18846.25046
CAF,1145.095637,1136.57053,1128.55238,1137.347266,1135.136277
CAN,57491.98205,54006.58443,56547.80056,57653.6893,56686.91595
CEB,38152.27086,36971.03706,39925.69974,41726.62839,42074.97765
CHE,79465.72417,77197.64659,80739.62293,82128.83561,81683.86626
CHI,,,,,
CHL,28255.44101,26282.89177,29132.87799,29585.60167,29490.75849
CHN,18465.29895,18833.7847,20406.72966,21011.61713,22137.59983
CIV,5894.878747,5787.815333,6045.204805,6261.533145,6485.315849
CMR,4882.3556,4763.481944,4793.556282,4843.650382,4870.570765
COD,1296.947573,1277.632863,1313.618218,1385.464724,1455.835623
COG,6939.369134,6350.509134,6263.211613,6205.105041,6172.287767
COL,17305.8529,15833.21225,17352.08887,18419.0384,18324.9053
COM,3516.126685,3441.070412,3441.211556,3463.005743,3498.803271
CPV,9111.629932,7207.86854,7685.419214,8850.106692,9288.40217
CRI,23374.02952,22220.65153,23862.36487,24841.54627,25989.90981
CSS,19617.13021,18259.34761,20001.26974,24962.14473,28493.05893
CUB,,,,,
CUW,28659.80003,23751.61722,25163.99366,27327.41719,28886.68749
CYM,77440.55206,72149.32689,74150.85809,76359.09088,78109.35066
CYP,46157.02344,44166.98438,48740.36328,51622.46875,52148.04297
CZE,47720.49223,45079.20131,47752.88015,48346.97121,47452.34856
DEU,62913.91794,60288.23501,62474.364,62875.20522,63097.7108
DJI,5784.448008,5773.207493,5947.860884,6083.643682,6400.620163
DMA,17318.96289,14508.92264,15594.28535,16557.64067,17420.25125
DNK,66520.07087,65145.67417,69652.23301,70170.22416,71390.00246
DOM,21363.86104,19721.32072,21912.25896,22757.38962,23087.93436
DZA,15199.199,14194.15575,14496.86547,14782.2003,15159.32424
EAP,16517.11004,16562.90919,17676.44706,18273.18774,19154.26457
EAR,10624.76103,10084.74174,10708.85781,11197.59264,11609.72288
EAS,20068.93005,19961.45069,21160.44432,21788.1469,22673.42457
ECA,20546.55893,20307.65398,21827.86831,21969.30284,23221.30955
ECS,41705.83697,39602.82735,42234.34183,43224.59375,43918.06457
ECU,13853.42078,12425.01755,13539.71085,14263.20398,14472.31651
EGY,15026.56824,15309.23599,15579.01609,16360.39078,16691.13324
EMU,54368.63689,50925.02506,54154.17962,55859.90471,55973.91653
ERI,,,,,
ESP,46837.82054,41510.45432,44237.8298,46633.75311,47298.41219
EST,42613.99878,41303.41266,44211.55588,43650.93842,41668.83757
ETH,2437.970335,2516.548947,2588.412969,2655.577916,2755.457096
EUU,51587.04919,48656.56456,51885.39149,53615.14704,53783.0611
FCS,5647.083219,5271.014406,5245.734664,5044.922082,5043.405206
FIN,56838.81206,55343.38365,56739.1309,57405.55186,56454.84969
FJI,13567.47383,11254.96975,10685.19698,12762.34658,13652.49087
FRA,53400.233,49266.7519,52469.85551,53643.07585,53969.03757
FRO,67207.83248,65131.61338,67757.77732,69338.80982,70373.37693
FSM,3938.557088,3839.258969,3921.72503,3874.199055,3886.696571
GAB,19491.40676,18681.48407,18523.5798,18662.0498,18702.69052
GBR,52490.7178,46913.88557,50978.951,52842.97636,52588.97943
GEO,18186.88165,17031.14403,18915.6534,20966.52804,22590.52935
GHA,6508.246523,6412.685418,6607.502974,6729.274404,6796.473619
GIB,,,,,
GIN,3557.462339,3630.993306,3738.805126,3792.010688,3949.340135
GMB,2750.821322,2702.319195,2777.79621,2863.180498,2932.280595
GNB,2379.604168,2360.531279,2450.977964,2507.014725,2578.804534
GNQ,18446.59166,17089.15373,16821.44865,16932.77068,15688.23842
GRC,33472.54378,30459.62504,33500.92264,35874.23859,36821.27537
GRD,17047.35493,14656.72088,15298.12311,16386.46234,16946.47316
GRL,67604.0507,67560.2539,68086.46012,,
GTM,11470.36422,11101.00962,11828.33001,12153.0306,12389.38587
GUM,,,,,
GUY,13402.42151,19234.12957,22865.93217,37068.19689,49315.16031
HIC,54511.96121,52142.09427,55272.55931,56568.92825,57259.73188
HKG,65388.33007,61328.54946,65884.93763,64036.78704,64467.57568
HND,6264.018843,5603.263984,6202.980788,6352.587102,6468.301921
HPC,3020.656853,2942.504593,2970.858547,3022.810011,3055.758154
HRV,35093.74336,32466.10824,36899.19559,39828.03254,41100.25241
HTI,3381.584787,3229.475544,3134.950149,3047.651793,2956.462137
HUN,37209.61805,35616.52273,38289.58021,40316.56934,40167.99248
IBD,15684.31035,15267.30412,16291.26477,16794.54349,17495.92116
IBT,12730.0009,12357.09613,13093.64788,13446.96657,13927.50417
IDA,4558.21029,4428.815194,4521.403959,4620.020896,4668.546047
IDB,5586.689493,5400.317046,5579.565988,5707.835078,5732.936544
IDN,12757.78509,12388.54493,12757.07464,13334.29352,13889.88288
IDX,4064.418664,3965.588843,4015.332553,4101.112673,4165.165446
IMN,,,,,
IND,7930.09113,7399.530681,8050.018575,8544.688884,9160.063654
INX,,,,,
IRL,97104.49683,102989.7873,118594.7469,125511.976,115401.1253
IRN,14040.66465,14397.15357,14951.89487,15331.33294,15912.02992
IRQ,14910.22503,12827.63454,12731.75358,13393.67494,12711.06167
ISL,65065.90568,59575.19039,61685.83561,65563.92087,66880.06581
